name,mode
IAmAN00bie,0
DeltaBot,0
qtx,0
protagornast,0
huadpe,0
GnosticGnome,0
Grunt08,0
convoces,0
Nepene,0
Snorrrlax,0
TryUsingScience,0
spblat,0
cwenham,0
PixelOrange,0
PepperoniFire,0
mehatch,0
howbigis1gb,0
BenIncognito,0
bubi09,0
hacksoncode,0
garnteller,0
r/Showerthoughts,1
r/DeltaLog,1
r/ideasforcmv,1
r/BetterQuestions,1
r/neutralnews,1
r/NotMyShoes,1
r/thischangedmyview,1
r/changemyneutralview,1
r/CMVLikeIAmA,1
r/DeltaBot,1
r/CMVpodcast,1
r/changemyviewDB3Dev,1
r/TaskForceDeltaBot,1
